OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLKGRPCE20,GEO_ID_GRP,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Shape_Leng,BLKGRP_LBL2,Shape_Length,Shape_Area
1,53,033,000101,1,530330001011,Block Group 1,G5030,S,144116,0,+47.7310181,-122.2913433,6035.80438002,Blkgrp 0001011,6035.8043800182,1551130.75831103
2,53,033,000101,2,530330001012,Block Group 2,G5030,S,103745,0,+47.7321347,-122.2947571,4679.55557912,Blkgrp 0001012,4679.5555791087,1116627.94025935
3,53,033,000101,3,530330001013,Block Group 3,G5030,S,166987,0,+47.7280809,-122.2935221,6034.59865484,Blkgrp 0001013,6034.59865484912,1797303.04119858
4,53,033,000102,1,530330001021,Block Group 1,G5030,S,893767,918878,+47.7277844,-122.2815659,19050.0558035,Blkgrp 0001021,19050.0558035128,19509673.3318288
5,53,033,000102,2,530330001022,Block Group 2,G5030,S,436845,0,+47.7235347,-122.2905241,10106.0806512,Blkgrp 0001022,10106.0806511932,4701823.24906516
6,53,033,000102,3,530330001023,Block Group 3,G5030,S,164407,0,+47.7210489,-122.2936020,5281.80056448,Blkgrp 0001023,5281.80056449422,1769537.20691482
7,53,033,000201,1,530330002011,Block Group 1,G5030,S,922407,0,+47.7284290,-122.3190004,16187.0136982,Blkgrp 0002011,16187.0136982137,9927970.63110717
8,53,033,000201,2,530330002012,Block Group 2,G5030,S,488379,0,+47.7254464,-122.3104368,13259.4588849,Blkgrp 0002012,13259.4588849181,5256481.57144952
9,53,033,000201,3,530330002013,Block Group 3,G5030,S,395963,0,+47.7227238,-122.3160712,9512.29694231,Blkgrp 0002013,9512.29694230342,4261798.83984435
10,53,033,000202,1,530330002021,Block Group 1,G5030,S,495046,0,+47.7283564,-122.2991849,10885.8230427,Blkgrp 0002021,10885.8230426711,5328259.90677583
11,53,033,000202,2,530330002022,Block Group 2,G5030,S,492994,0,+47.7223274,-122.3027241,10653.936908,Blkgrp 0002022,10653.936907958,5306166.24274909
12,53,033,000202,3,530330002023,Block Group 3,G5030,S,492045,0,+47.7302076,-122.3059639,9545.97600261,Blkgrp 0002023,9545.97600260217,5295931.23800843
13,53,033,000300,1,530330003001,Block Group 1,G5030,S,788386,0,+47.7300655,-122.3289033,12732.426371,Blkgrp 0003001,12732.4263710081,8485495.44010731
14,53,033,000300,2,530330003002,Block Group 2,G5030,S,422627,0,+47.7313844,-122.3404351,8643.38214924,Blkgrp 0003002,8643.38214924451,4548780.12254272
15,53,033,000402,1,530330004021,Block Group 1,G5030,S,321364,0,+47.7223429,-122.3556433,9197.17017229,Blkgrp 0004021,9197.17017229206,3458893.39449509
16,53,033,000402,2,530330004022,Block Group 2,G5030,S,869236,0,+47.7152667,-122.3481923,16768.1632845,Blkgrp 0004022,16768.1632845074,9355713.21856381
17,53,033,000402,3,530330004023,Block Group 3,G5030,S,322717,0,+47.7141594,-122.3555649,7895.82857205,Blkgrp 0004023,7895.8285720366,3473435.49352494
18,53,033,000402,4,530330004024,Block Group 4,G5030,S,285621,0,+47.7185814,-122.3577694,7288.06534083,Blkgrp 0004024,7288.06534082394,3074178.41642535
19,53,033,000403,1,530330004031,Block Group 1,G5030,S,406954,0,+47.7295922,-122.3582502,9265.56704512,Blkgrp 0004031,9265.5670451204,4380109.34900999
20,53,033,000403,2,530330004032,Block Group 2,G5030,S,262430,62871,+47.7251696,-122.3533294,7524.35895057,Blkgrp 0004032,7524.35895057709,3501264.16053886
21,53,033,000404,1,530330004041,Block Group 1,G5030,S,186468,0,+47.7329839,-122.3497477,7390.9134572,Blkgrp 0004041,7390.9134571877,2006981.24718573
22,53,033,000404,2,530330004042,Block Group 2,G5030,S,284687,31541,+47.7309654,-122.3522781,8236.8902511,Blkgrp 0004042,8236.89025109839,3403593.56551718
23,53,033,000404,3,530330004043,Block Group 3,G5030,S,128321,0,+47.7258721,-122.3464249,5424.52779683,Blkgrp 0004043,5424.52779683192,1381128.42013804
24,53,033,000500,1,530330005001,Block Group 1,G5030,S,2032204,953717,+47.7249368,-122.3718768,29661.7974523,Blkgrp 0005001,29661.7974523025,32137861.4927414
25,53,033,000500,2,530330005002,Block Group 2,G5030,S,866048,0,+47.7168766,-122.3644112,18578.256481,Blkgrp 0005002,18578.2564809456,9321438.59405592
26,53,033,000601,1,530330006011,Block Group 1,G5030,S,248262,0,+47.7167244,-122.3153266,6629.29800928,Blkgrp 0006011,6629.29800928522,2672071.83664882
27,53,033,000601,2,530330006012,Block Group 2,G5030,S,769714,0,+47.7174553,-122.3277310,14664.6276306,Blkgrp 0006012,14664.6276305949,8284561.96572236
28,53,033,000601,3,530330006013,Block Group 3,G5030,S,413292,0,+47.7152889,-122.3196421,10763.2465866,Blkgrp 0006013,10763.2465866008,4448318.78035947
29,53,033,000602,1,530330006021,Block Group 1,G5030,S,830632,0,+47.7252024,-122.3373241,12052.0542331,Blkgrp 0006021,12052.0542331209,8940208.66854375
30,53,033,000602,2,530330006022,Block Group 2,G5030,S,796331,55191,+47.7188129,-122.3363779,14317.2982714,Blkgrp 0006022,14317.2982714327,9165081.53169499
31,53,033,000602,3,530330006023,Block Group 3,G5030,S,728614,0,+47.7110086,-122.3390290,11862.0437636,Blkgrp 0006023,11862.0437635895,7842217.66122744
32,53,033,000700,1,530330007001,Block Group 1,G5030,S,386113,0,+47.7156234,-122.3093378,8613.507201,Blkgrp 0007001,8613.50720097581,4155800.19929196
33,53,033,000700,2,530330007002,Block Group 2,G5030,S,547018,0,+47.7150069,-122.3009881,12671.3961115,Blkgrp 0007002,12671.3961114392,5887636.25737053
34,53,033,000700,3,530330007003,Block Group 3,G5030,S,165339,0,+47.7177766,-122.2973278,5937.68302228,Blkgrp 0007003,5937.68302227798,1779559.47813548
35,53,033,000700,4,530330007004,Block Group 4,G5030,S,195968,0,+47.7159637,-122.2933915,7541.73546288,Blkgrp 0007004,7541.73546289963,2109246.45874405
36,53,033,000800,1,530330008001,Block Group 1,G5030,S,487760,0,+47.7153890,-122.2871488,8966.82605026,Blkgrp 0008001,8966.82605024721,5249848.28999779
37,53,033,000800,2,530330008002,Block Group 2,G5030,S,654171,0,+47.7081667,-122.2852863,10747.9015256,Blkgrp 0008002,10747.9015256178,7040961.73396181
38,53,033,000900,1,530330009001,Block Group 1,G5030,S,522642,0,+47.7127865,-122.2796303,13156.541543,Blkgrp 0009001,13156.5415430404,5625269.01059662
39,53,033,000900,2,530330009002,Block Group 2,G5030,S,482211,1849039,+47.7080031,-122.2748976,26327.0776538,Blkgrp 0009002,26327.0776538592,25091660.0685771
40,53,033,001000,1,530330010001,Block Group 1,G5030,S,371250,0,+47.7096097,-122.2963085,8826.43596196,Blkgrp 0010001,8826.43596195912,3995824.2426611
41,53,033,001000,2,530330010002,Block Group 2,G5030,S,582953,0,+47.7043678,-122.2959069,10928.4106304,Blkgrp 0010002,10928.4106303529,6274447.4425274
42,53,033,001100,1,530330011001,Block Group 1,G5030,S,513001,0,+47.7092020,-122.3056860,11616.6482385,Blkgrp 0011001,11616.6482385245,5521546.63912784
43,53,033,001100,2,530330011002,Block Group 2,G5030,S,547684,0,+47.7040591,-122.3078549,10870.9079818,Blkgrp 0011002,10870.9079818195,5894852.94981172
44,53,033,001201,1,530330012011,Block Group 1,G5030,S,246118,0,+47.7104044,-122.3219482,6654.65727815,Blkgrp 0012011,6654.6572781508,2649003.19792723
