ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2019,"2019",0,"Total",55143,5847,"Census Tract 1, King County, WA","14000US53033000100"
2019,"2019",0,"Total",77463,11351,"Census Tract 2, King County, WA","14000US53033000200"
2019,"2019",0,"Total",100917,10408,"Census Tract 3, King County, WA","14000US53033000300"
2019,"2019",0,"Total",32877,5813,"Census Tract 4.01, King County, WA","14000US53033000401"
2019,"2019",0,"Total",72150,13709,"Census Tract 4.02, King County, WA","14000US53033000402"
2019,"2019",0,"Total",148906,17245,"Census Tract 5, King County, WA","14000US53033000500"
2019,"2019",0,"Total",77269,11592,"Census Tract 6, King County, WA","14000US53033000600"
2019,"2019",0,"Total",64310,11767,"Census Tract 7, King County, WA","14000US53033000700"
2019,"2019",0,"Total",102500,18804,"Census Tract 8, King County, WA","14000US53033000800"
2019,"2019",0,"Total",147750,17447,"Census Tract 9, King County, WA","14000US53033000900"
2019,"2019",0,"Total",110956,16093.000000000002,"Census Tract 10, King County, WA","14000US53033001000"
2019,"2019",0,"Total",95573,18523,"Census Tract 11, King County, WA","14000US53033001100"
2019,"2019",0,"Total",51807,5796,"Census Tract 12, King County, WA","14000US53033001200"
2019,"2019",0,"Total",72850,16332.999999999998,"Census Tract 13, King County, WA","14000US53033001300"
2019,"2019",0,"Total",93948,12930,"Census Tract 14, King County, WA","14000US53033001400"
2019,"2019",0,"Total",128059,13122,"Census Tract 15, King County, WA","14000US53033001500"
2019,"2019",0,"Total",143125,18783,"Census Tract 16, King County, WA","14000US53033001600"
2019,"2019",0,"Total",75162,4517,"Census Tract 17.01, King County, WA","14000US53033001701"
2019,"2019",0,"Total",93679,20360,"Census Tract 17.02, King County, WA","14000US53033001702"
2019,"2019",0,"Total",95993,11539,"Census Tract 18, King County, WA","14000US53033001800"
2019,"2019",0,"Total",89448,13472,"Census Tract 19, King County, WA","14000US53033001900"
2019,"2019",0,"Total",121184,15235.999999999998,"Census Tract 20, King County, WA","14000US53033002000"
2019,"2019",0,"Total",113750,18437,"Census Tract 21, King County, WA","14000US53033002100"
2019,"2019",0,"Total",134554,21235,"Census Tract 22, King County, WA","14000US53033002200"
2019,"2019",0,"Total",126944,16260,"Census Tract 24, King County, WA","14000US53033002400"
2019,"2019",0,"Total",121635,21542,"Census Tract 25, King County, WA","14000US53033002500"
2019,"2019",0,"Total",114219,15255.000000000002,"Census Tract 26, King County, WA","14000US53033002600"
2019,"2019",0,"Total",145500,26727,"Census Tract 27, King County, WA","14000US53033002700"
2019,"2019",0,"Total",137127,8427,"Census Tract 28, King County, WA","14000US53033002800"
2019,"2019",0,"Total",112969,17345,"Census Tract 29, King County, WA","14000US53033002900"
2019,"2019",0,"Total",105581,6834,"Census Tract 30, King County, WA","14000US53033003000"
2019,"2019",0,"Total",127787,9935,"Census Tract 31, King County, WA","14000US53033003100"
2019,"2019",0,"Total",95182,9776,"Census Tract 32, King County, WA","14000US53033003200"
2019,"2019",0,"Total",127665,19600,"Census Tract 33, King County, WA","14000US53033003300"
2019,"2019",0,"Total",112650,16591,"Census Tract 34, King County, WA","14000US53033003400"
2019,"2019",0,"Total",105625,13190,"Census Tract 35, King County, WA","14000US53033003500"
2019,"2019",0,"Total",83739,8672,"Census Tract 36, King County, WA","14000US53033003600"
2019,"2019",0,"Total",124286,24442,"Census Tract 38, King County, WA","14000US53033003800"
2019,"2019",0,"Total",111806,37327,"Census Tract 39, King County, WA","14000US53033003900"
2019,"2019",0,"Total",85707,15075,"Census Tract 40, King County, WA","14000US53033004000"
